,Latitude,Longitudes,city,Humidity,Cloudiness,Temperature,Wind Speed
0,47,159,severo-kurilsk,100.0,48.0,-4.54,4.07
1,181,28,longyearbyen,51.0,20.0,-11.0,9.3
2,6,4,epe,93.0,75.0,7.0,4.1
3,39,4,mahon,100.0,75.0,8.0,9.3
4,165,62,dikson,90.0,20.0,-23.64,12.92
5,159,152,chokurdakh,29.0,76.0,-28.89,1.67
6,34,18,benghazi,100.0,20.0,16.31,8.72
7,123,120,saskylakh,70.0,64.0,-20.99,4.92
10,165,172,pevek,90.0,88.0,-17.04,0.42
12,33,97,tezu,72.0,88.0,14.77,0.77
16,54,14,wolgast,91.0,80.0,2.12,2.47
19,66,32,zelenoborskiy,69.0,8.0,-13.84,1.62
20,52,164,nikolskoye,95.0,90.0,1.0,5.0
21,193,135,tiksi,65.0,76.0,-20.14,1.27
25,18,104,seka,88.0,68.0,15.97,0.92
26,36,71,chitral,84.0,8.0,-9.89,0.32
27,58,97,boguchany,86.0,36.0,-6.14,1.87
34,86,164,cherskiy,51.0,68.0,-27.49,2.12
38,49,15,chlum u trebone,70.0,80.0,-0.34,3.32
42,56,11,kalundborg,99.0,76.0,2.0,2.6
45,83,100,khatanga,47.0,44.0,-26.69,2.02
46,57,62,sukhoy log,86.0,80.0,-6.09,2.07
47,69,57,usinsk,73.0,44.0,-19.29,4.57
49,8,22,ouadda,93.0,32.0,22.97,2.67
50,187,179,leningradskiy,88.0,68.0,-14.29,1.62
52,70,152,srednekolymsk,30.0,44.0,-29.44,1.17
54,27,85,kalaiya,71.0,0.0,18.56,1.67
55,70,29,vadso,73.0,75.0,-7.51,5.7
58,58,150,arman,69.0,0.0,-25.0,2.0
60,49,121,yakeshi,73.0,36.0,-7.44,1.32
61,31,143,katsuura,88.0,20.0,6.0,9.3
62,35,148,hasaki,81.0,75.0,9.55,1.5
65,6,9,ikom,80.0,48.0,27.37,2.67
68,24,8,gat,22.0,12.0,35.17,2.92
71,67,109,aykhal,57.0,0.0,-19.14,1.77
72,51,19,klobuck,40.0,0.0,3.0,3.1
73,17,139,airai,90.0,20.0,19.72,0.72
75,57,8,thyboron,94.0,20.0,4.37,2.47
76,24,76,susner,39.0,0.0,20.62,2.62
79,12,123,balud,100.0,0.0,21.82,2.32
80,11,29,kaduqli,58.0,20.0,27.72,0.97
82,72,68,aksarka,37.0,0.0,-31.49,3.02
89,35,79,leh,73.0,76.0,-16.19,0.62
92,62,12,roros,80.0,75.0,-1.0,2.6
95,32,53,meybod,11.0,0.0,23.0,2.1
96,48,129,youhao,62.0,64.0,-0.69,2.47
99,60,37,kaduy,84.0,48.0,-3.99,5.47
101,22,93,saiha,79.0,0.0,16.97,0.47
105,42,65,nurota,71.0,0.0,11.0,4.1
111,35,55,damghan,66.0,0.0,9.81,1.37
114,47,11,telfs,35.0,75.0,2.83,5.1
116,69,15,stokmarknes,68.0,0.0,-1.0,2.1
118,13,26,umm kaddadah,17.0,0.0,24.17,1.47
123,48,27,avrameni,68.0,0.0,-4.0,4.6
124,18,106,ha tinh,100.0,0.0,20.57,1.62
126,25,110,guilin,81.0,0.0,12.0,1.0
130,28,171,butaritari,98.0,88.0,28.32,7.67
131,64,103,tura,95.0,0.0,17.02,1.17
141,54,22,gizycko,81.0,56.0,0.47,4.57
142,32,114,xinyang,78.0,0.0,6.37,1.87
144,85,36,vardo,41.0,1.0,4.33,6.7
149,13,121,barahan,100.0,44.0,22.82,1.62
150,41,119,lingyuan,70.0,24.0,-3.24,1.82
153,11,66,kavaratti,100.0,0.0,28.67,4.37
154,3,158,namatanai,97.0,68.0,28.47,6.27
156,61,107,yerbogachen,88.0,76.0,-5.44,2.07
158,1,86,hambantota,100.0,8.0,27.17,5.02
168,48,101,moron,58.0,64.0,29.0,1.0
169,45,25,titesti,86.0,92.0,-3.04,3.07
170,72,71,yar-sale,34.0,0.0,-30.59,4.67
171,47,129,langxiang,69.0,20.0,-7.89,1.17
172,57,89,tyukhtet,75.0,80.0,-4.34,2.07
183,63,158,evensk,100.0,76.0,-15.19,2.52
184,56,66,uporovo,90.0,92.0,-6.04,1.47
187,37,46,miandoab,21.0,0.0,16.0,3.1
189,54,15,gryfice,93.0,90.0,2.0,2.1
192,42,133,vrangel,100.0,20.0,-0.19,1.87
194,18,55,salalah,74.0,20.0,26.0,1.5
197,10,2,djougou,46.0,20.0,32.0,3.6
202,44,113,erenhot,65.0,88.0,2.72,1.72
204,47,150,vostok,65.0,32.0,-11.24,1.07
205,33,11,bin qirdan,41.0,8.0,14.06,7.37
207,42,102,hovd,91.0,75.0,3.52,4.1
221,60,170,tilichiki,76.0,64.0,-11.69,2.92
